Experiment,RBC,time,ratio,rep,complex
1,infected,2h,0.02:1,1,30.85863861
1,uninfected,2h,0.02:1,1,29.67734103
1,infected,24h,0.02:1,1,37.87373698
1,uninfected,24h,0.02:1,1,26.93414748
1,infected,2h,0.2:1,1,50.36214366
1,uninfected,2h,0.2:1,1,45.21940066
1,infected,24h,0.2:1,1,63.43619939
1,uninfected,24h,0.2:1,1,40.13966331
1,infected,2h,r2:1,1,50.96714478
1,uninfected,2h,r2:1,1,36.63189062
1,infected,24h,r2:1,1,63.07762963
1,uninfected,24h,r2:1,1,56.36416211
1,infected,2h,0.02:1,2,32.69998031
1,uninfected,2h,0.02:1,2,1.410435377
1,infected,24h,0.02:1,2,43.59491017
1,uninfected,24h,0.02:1,2,27.73183
1,infected,2h,0.2:1,2,47.34317134
1,uninfected,2h,0.2:1,2,18.31992485
1,infected,24h,0.2:1,2,77.8536811
1,uninfected,24h,0.2:1,2,31.72910731
1,infected,2h,r2:1,2,43.46366029
1,uninfected,2h,r2:1,2,2.088119603
1,infected,24h,r2:1,2,54.74232864
1,uninfected,24h,r2:1,2,71.3718946
1,infected,2h,0.02:1,3,28.89475243
1,uninfected,2h,0.02:1,3,14.53903053
1,infected,24h,0.02:1,3,41.73958345
1,uninfected,24h,0.02:1,3,16.35870471
1,infected,2h,0.2:1,3,40.23121283
1,uninfected,2h,0.2:1,3,39.7784989
1,infected,24h,0.2:1,3,95.74091052
1,uninfected,24h,0.2:1,3,49.01539022
1,infected,2h,r2:1,3,34.69338931
1,uninfected,2h,r2:1,3,58.39572467
1,infected,24h,r2:1,3,75.08819989
1,uninfected,24h,r2:1,3,25.62160492
1,infected,2h,0.02:1,4,36.2389937
1,uninfected,2h,0.02:1,4,34.82553693
1,infected,24h,0.02:1,4,15.0202063
1,uninfected,24h,0.02:1,4,15.80722503
1,infected,2h,0.2:1,4,81.69112784
1,uninfected,2h,0.2:1,4,19.03042066
1,infected,24h,0.2:1,4,48.61555422
1,uninfected,24h,0.2:1,4,41.26911711
1,infected,2h,r2:1,4,67.27830782
1,uninfected,2h,r2:1,4,17.56199321
1,infected,24h,r2:1,4,73.87650805
1,uninfected,24h,r2:1,4,9.261105224
2,infected,2h,0.02:1,1,34.21734865
2,uninfected,2h,0.02:1,1,8.764755307
2,infected,24h,0.02:1,1,20.13284502
2,uninfected,24h,0.02:1,1,1.16948963
2,infected,2h,0.2:1,1,34.07335867
2,uninfected,2h,0.2:1,1,40.85062906
2,infected,24h,0.2:1,1,70.64328665
2,uninfected,24h,0.2:1,1,44.71778811
2,infected,2h,r2:1,1,45.44317541
2,uninfected,2h,r2:1,1,43.97510254
2,infected,24h,r2:1,1,62.35575234
2,uninfected,24h,r2:1,1,58.96267287
2,infected,2h,0.02:1,2,-10.21536112
2,uninfected,2h,0.02:1,2,4.301080198
2,infected,24h,0.02:1,2,51.27940878
2,uninfected,24h,0.02:1,2,31.58292594
2,infected,2h,0.2:1,2,75.15239245
2,uninfected,2h,0.2:1,2,56.56270635
2,infected,24h,0.2:1,2,16.9186318
2,uninfected,24h,0.2:1,2,33.00959428
2,infected,2h,r2:1,2,49.65732216
2,uninfected,2h,r2:1,2,45.42302632
2,infected,24h,r2:1,2,61.01032364
2,uninfected,24h,r2:1,2,11.75528913
2,infected,2h,0.02:1,3,27.71789403
2,uninfected,2h,0.02:1,3,50.13516597
2,infected,24h,0.02:1,3,50.23829534
2,uninfected,24h,0.02:1,3,43.74477749
2,infected,2h,0.2:1,3,55.90460827
2,uninfected,2h,0.2:1,3,36.59003171
2,infected,24h,0.2:1,3,103.2481958
2,uninfected,24h,0.2:1,3,10.51955256
2,infected,2h,r2:1,3,69.95010341
2,uninfected,2h,r2:1,3,30.46027914
2,infected,24h,r2:1,3,90.4696054
2,uninfected,24h,r2:1,3,52.43922096
2,infected,2h,0.02:1,4,24.98642462
2,uninfected,2h,0.02:1,4,16.62402637
2,infected,24h,0.02:1,4,49.71730442
2,uninfected,24h,0.02:1,4,24.92096536
2,infected,2h,0.2:1,4,15.9316255
2,uninfected,2h,0.2:1,4,20.76682502
2,infected,24h,0.2:1,4,58.38420802
2,uninfected,24h,0.2:1,4,21.59378164
2,infected,2h,r2:1,4,42.58339431
2,uninfected,2h,r2:1,4,48.0577159
2,infected,24h,r2:1,4,86.64842857
2,uninfected,24h,r2:1,4,52.45313766
3,infected,2h,0.02:1,1,26.85008751
3,uninfected,2h,0.02:1,1,13.52336184
3,infected,24h,0.02:1,1,30.74831374
3,uninfected,24h,0.02:1,1,8.879638027
3,infected,2h,0.2:1,1,29.25132458
3,uninfected,2h,0.2:1,1,24.01480707
3,infected,24h,0.2:1,1,55.38324454
3,uninfected,24h,0.2:1,1,38.28698066
3,infected,2h,r2:1,1,11.76078638
3,uninfected,2h,r2:1,1,41.95984224
3,infected,24h,r2:1,1,67.21364938
3,uninfected,24h,r2:1,1,25.50337794
3,infected,2h,0.02:1,2,26.845269
3,uninfected,2h,0.02:1,2,21.29399559
3,infected,24h,0.02:1,2,30.11783112
3,uninfected,24h,0.02:1,2,3.549697573
3,infected,2h,0.2:1,2,40.22088015
3,uninfected,2h,0.2:1,2,32.37524401
3,infected,24h,0.2:1,2,47.6795796
3,uninfected,24h,0.2:1,2,30.9234806
3,infected,2h,r2:1,2,26.73693682
3,uninfected,2h,r2:1,2,46.23197173
3,infected,24h,r2:1,2,56.44962012
3,uninfected,24h,r2:1,2,26.64114993
3,infected,2h,0.02:1,3,26.76599999
3,uninfected,2h,0.02:1,3,7.813346117
3,infected,24h,0.02:1,3,57.87311969
3,uninfected,24h,0.02:1,3,17.97227754
3,infected,2h,0.2:1,3,3.32047758
3,uninfected,2h,0.2:1,3,33.00003184
3,infected,24h,0.2:1,3,16.31393142
3,uninfected,24h,0.2:1,3,15.42734838
3,infected,2h,r2:1,3,55.5583044
3,uninfected,2h,r2:1,3,34.45151288
3,infected,24h,r2:1,3,97.14522766
3,uninfected,24h,r2:1,3,8.754310683
3,infected,2h,0.02:1,4,36.62709825
3,uninfected,2h,0.02:1,4,23.28489152
3,infected,24h,0.02:1,4,55.70368575
3,uninfected,24h,0.02:1,4,35.95077955
3,infected,2h,0.2:1,4,42.70814262
3,uninfected,2h,0.2:1,4,5.850531823
3,infected,24h,0.2:1,4,32.999492
3,uninfected,24h,0.2:1,4,37.84335187
3,infected,2h,r2:1,4,31.73675385
3,uninfected,2h,r2:1,4,49.98404379
3,infected,24h,r2:1,4,63.3781413
3,uninfected,24h,r2:1,4,30.19775666
4,infected,2h,0.02:1,1,22.38209657
4,uninfected,2h,0.02:1,1,-0.16459783
4,infected,24h,0.02:1,1,15.70208125
4,uninfected,24h,0.02:1,1,46.38344009
4,infected,2h,0.2:1,1,21.02108821
4,uninfected,2h,0.2:1,1,3.373029838
4,infected,24h,0.2:1,1,76.28551319
4,uninfected,24h,0.2:1,1,17.33771962
4,infected,2h,r2:1,1,36.76277899
4,uninfected,2h,r2:1,1,59.1260083
4,infected,24h,r2:1,1,74.12097771
4,uninfected,24h,r2:1,1,12.68171618
4,infected,2h,0.02:1,2,-8.919704736
4,uninfected,2h,0.02:1,2,35.52561369
4,infected,24h,0.02:1,2,25.88913234
4,uninfected,24h,0.02:1,2,8.09629475
4,infected,2h,0.2:1,2,40.60211399
4,uninfected,2h,0.2:1,2,5.851929642
4,infected,24h,0.2:1,2,44.69498694
4,uninfected,24h,0.2:1,2,39.8979307
4,infected,2h,r2:1,2,34.11933636
4,uninfected,2h,r2:1,2,34.70219982
4,infected,24h,r2:1,2,75.55698227
4,uninfected,24h,r2:1,2,14.23758482
4,infected,2h,0.02:1,3,11.25877129
4,uninfected,2h,0.02:1,3,6.81040025
4,infected,24h,0.02:1,3,39.45576419
4,uninfected,24h,0.02:1,3,-7.444247559
4,infected,2h,0.2:1,3,36.99729073
4,uninfected,2h,0.2:1,3,40.14693896
4,infected,24h,0.2:1,3,29.58266759
4,uninfected,24h,0.2:1,3,38.98540291
4,infected,2h,r2:1,3,50.57600239
4,uninfected,2h,r2:1,3,15.72489998
4,infected,24h,r2:1,3,77.23414168
4,uninfected,24h,r2:1,3,45.99983019
4,infected,2h,0.02:1,4,14.6114882
4,uninfected,2h,0.02:1,4,13.40192625
4,infected,24h,0.02:1,4,53.56227876
4,uninfected,24h,0.02:1,4,-0.074106631
4,infected,2h,0.2:1,4,49.73630412
4,uninfected,2h,0.2:1,4,34.68730127
4,infected,24h,0.2:1,4,29.73745407
4,uninfected,24h,0.2:1,4,-12.37190729
4,infected,2h,r2:1,4,48.43679239
4,uninfected,2h,r2:1,4,24.74405091
4,infected,24h,r2:1,4,84.31193785
4,uninfected,24h,r2:1,4,31.77087684
5,infected,2h,0.02:1,1,33.01042255
5,uninfected,2h,0.02:1,1,10.21825533
5,infected,24h,0.02:1,1,49.29593398
5,uninfected,24h,0.02:1,1,-0.058005712
5,infected,2h,0.2:1,1,49.91311211
5,uninfected,2h,0.2:1,1,21.16612165
5,infected,24h,0.2:1,1,43.21261843
5,uninfected,24h,0.2:1,1,19.24706811
5,infected,2h,r2:1,1,76.67140616
5,uninfected,2h,r2:1,1,40.14517575
5,infected,24h,r2:1,1,69.26320838
5,uninfected,24h,r2:1,1,38.46800015
5,infected,2h,0.02:1,2,8.522017986
5,uninfected,2h,0.02:1,2,15.33444632
5,infected,24h,0.02:1,2,37.83503723
5,uninfected,24h,0.02:1,2,-22.84668195
5,infected,2h,0.2:1,2,21.88685318
5,uninfected,2h,0.2:1,2,17.41110952
5,infected,24h,0.2:1,2,70.70463389
5,uninfected,24h,0.2:1,2,26.85524033
5,infected,2h,r2:1,2,45.38857249
5,uninfected,2h,r2:1,2,43.63888548
5,infected,24h,r2:1,2,58.6965995
5,uninfected,24h,r2:1,2,39.01047078
5,infected,2h,0.02:1,3,15.5867781
5,uninfected,2h,0.02:1,3,-0.424403416
5,infected,24h,0.02:1,3,22.30369759
5,uninfected,24h,0.02:1,3,28.70056034
5,infected,2h,0.2:1,3,59.91092964
5,uninfected,2h,0.2:1,3,12.14397894
5,infected,24h,0.2:1,3,36.64150529
5,uninfected,24h,0.2:1,3,12.72934507
5,infected,2h,r2:1,3,28.23351693
5,uninfected,2h,r2:1,3,1.594927028
5,infected,24h,r2:1,3,67.23158833
5,uninfected,24h,r2:1,3,10.19720285
5,infected,2h,0.02:1,4,40.14000278
5,uninfected,2h,0.02:1,4,2.891856117
5,infected,24h,0.02:1,4,27.90979519
5,uninfected,24h,0.02:1,4,22.55989361
5,infected,2h,0.2:1,4,45.53792408
5,uninfected,2h,0.2:1,4,25.79442313
5,infected,24h,0.2:1,4,66.94164788
5,uninfected,24h,0.2:1,4,26.64932307
5,infected,2h,r2:1,4,64.23453214
5,uninfected,2h,r2:1,4,18.50898749
5,infected,24h,r2:1,4,66.97872925
5,uninfected,24h,r2:1,4,56.36691835